code_activity,name_activity,ar_name_activity
63303,Electromécanicien en installation et maintenance électronique,إلكترو نيكي في التركيب والصيانة الإلكترونية
63302,Electromécanicien de maintenance de cartes électroniques,إلكترو نيكي في صيانة البطاقات الإلكترونية
63301,Technicien supérieur pneumaticien,تقني في صيانة التركيبات الآلية
63217,Technicien supérieur de maintenance industrielle,تقني في صيانة التجهيزات الصناعية
63216,Technicien pneumaticien,تقني في خدمة الهوائيات المضغوطة
63215,Technicien hydropneumatique,تقني في المائية الهوائية المضغوطة
63214,Technicien électrotechnicien en installation d'exploitation,تقني في الكهروميكانيك في نظام التشغيل
63213,Technicien électromécanicien,تقني في الكهروميكانيك
63212,Technicien d'installation industrielle,تقني في التركيب الصناعي
63211,Technicien d'installation d'équipements industriels,تقني في تركيب المعدات الصناعية
63210,Technicien de maintenance industrielle,تقني في صيانة التركيبات الآلية
63209,Technicien de maintenance en équipements industriels,تقني في صيانة التجهيزات الصناعية
63208,Technicien de maintenance d'équipements de production,تقني في صيانة المعدات الإنتاج
63207,Technicien de maintenance d'installations automatisées,تقني في صيانة التجهيزات الآلية
63206,Technicien d'installation en automatisme,تقني في التركيب الآلي
63205,Technicien automaticien de maintenance,تقني سامي في الصيانة الصناعية
63204,Préparateur d'entretien en maintenance industrielle,مدرب صيانة في الصيانة الصناعية
63203,Pneumaticien,مختص في تصنيع الهوائيات المضغوطة
63202,Mécanicien industriel,ميكانيكي صناعي
63201,Mécanicien de maintenance de matériel ferroviaire,ميكانيكي في صيانة عتاد السكك الحديدية
63128,Mécanicien d'entretien,ميكانيكي صيانة
63127,Instrumentiste en équipements industriels,مختص في التجهيزات الصناعية الألية
63126,Hydraulicien industriel de maintenance,هيدروليكي صناعي في الصيانة
63125,Hydraulicien industriel d’installation,هيدروليكي صناعي في التركيب
63124,Hydraulicien,هيدروليكي
63123,Électrotechnicien branche industrie,كهروميكاني في فرع الصناعة
